rank,ticker,sector,value_rank_score,score_value,score_safety,score_profit,penalty,total_score,debt_free_flag,net_cash_flag,net_cash_status,is_high_growth,debt_to_equity_ratio,market_cap,cap_size,dividend_yield,eps,bps,revenue,revenue_growth_rate,operating_income,operating_margin,net_income,gross_profit,cost_of_revenue,sga,ordinary_income,pretax_income,tax_provision,roe,pbr,per,equity_ratio,roic,roic_using_total_assets,invested_capital,total_assets,total_liabilities,equity,total_debt,cash,beginning_cash_balance,operating_cash_flow,investing_cash_flow,financing_cash_flow,end_cash_value,missing_critical,missing_items,revenue_previous,long_term_debt,short_term_debt,score_growth
2462,4887,医薬品,13.317969999242747,3.3169630000000003,9.675006979242745,0.32600002,0.0,27.071065633126793,False,False,,False,0.5253776157005303,2800.52662272,中型,227.0,96.76,1531.411,189024000000.0,6.876547816942023,20808000000.0,11.01,22938000000.0,56352000000.0,132673000000.0,278000000.0,19919000000.0,19919000000.0,6777000000.0,0.16300001,1.583507,25.062008,49.025020937728236,5.492452666548514,False,265193000000.0,354623000000.0,180769000000.0,173854000000.0,91339000000.0,38785000000.0,,27851000000.0,6480000000.0,-32704000000.0,,False,[],176862000000.0,,,13.753095633884046
2463,5844,銀行,13.288210750000001,6.04021075,0.0,7.248,0.0,45.23435084943911,False,True,実質無借金,False,0.4666269615922658,10714.73098752,大型,212.0,145.98,4370.159,131089000000.0,15.973070049719555,50488000000.0,38.51,36552000000.0,,,19532000000.0,50488000000.0,50488000000.0,13933000000.0,3.624,0.86312646,25.839157,8.905291773633065,2.225072166765827,False,1588335000000.0,12161140000000.0,11077950000000.0,1082985000000.0,505350000000.0,1341005000000.0,,501615000000.0,-84877000000.0,-24020000000.0,,False,[],113034000000.0,,,31.94614009943911
2464,5702,鉄鋼・非鉄,13.247854088204376,5.0,8.247854088204376,0.0,0.0,41.51439283819962,False,False,,False,0.9206586006788569,533.83135232,中型,408.0,2.7,1785.437,299795000000.0,14.13326937499762,4840000000.0,1.61,699000000.0,13757000000.0,286037000000.0,2747000000.0,2428000000.0,2428000000.0,1897000000.0,-0.18000001,0.7555573,499.6296,44.743562264613125,2.41429192409375,False,140331000000.0,163295000000.0,89583000000.0,73064000000.0,67267000000.0,7341000000.0,,-10043000000.0,-4203000000.0,14566000000.0,,False,[],262671000000.0,,,28.26653874999524
2465,7389,銀行,13.179867999999999,6.907868,0.0,6.272,0.0,32.27010477910227,False,True,実質無借金,False,0.9501851380762599,2665.65746688,中型,217.0,244.54,8161.566,87394000000.0,9.545118389551135,9725000000.0,11.13,9097000000.0,,,77112000000.0,9725000000.0,9725000000.0,629000000.0,3.136,0.67021453,22.368528,5.20302289762447,0.9866571201641843,False,689956000000.0,6799701000000.0,6445893000000.0,353790000000.0,336166000000.0,612643000000.0,,-105076000000.0,117584000000.0,-4961000000.0,,False,[],79779000000.0,,,19.09023677910227
2466,9215,情報通信・サービスその他,13.144991224970962,0.0,8.519281700947998,4.625709524022965,0.0,40.68560965752489,False,True,実質無借金,False,0.32934546536218834,16.97277952,小型,,12.88,145.502,1761029000.0,13.770309216276964,7792000.0,0.44,5676000.0,673571000.0,1087458000.0,,6206000.0,6206000.0,530000.0,2.3128547620114825,6.2061005,70.108696,45.55784510284399,1.6719184884562095,False,326236000.0,538680000.0,293269000.0,245411000.0,80825000.0,324359000.0,,27425000.0,-63356000.0,10825000.0,,False,[],1547881000.0,,,27.540618432553927
2467,3071,小売,13.088342999893845,4.460946999999999,8.627395999893846,0.0,0.0,33.82346731751373,False,True,実質無借金,False,0.29142611426086606,31.22924544,小型,265.0,-1.34,102.003,30296973000.0,10.367562158809946,260666000.0,0.86,4166000.0,5005666000.0,25291307000.0,,57493000.0,57493000.0,60026000.0,-1.314,1.1078106,749.6218300528085,45.882187999681534,4.883883891385856,False,3736088000.0,6305266000.0,3392064000.0,2892994000.0,843094000.0,895143000.0,,943151000.0,-273212000.0,-424006000.0,,False,[],27450976000.0,,,20.735124317619892
2468,8237,小売,13.004644224578556,0.0,5.710644224578554,7.2940000000000005,0.0,46.30807929281932,False,False,,False,0.7720452937013447,972.36451328,中型,63.0,7.75,494.768,48120000000.0,16.651717534120387,4490000000.0,9.33,2383000000.0,25971000000.0,22149000000.0,7201000000.0,3779000000.0,3779000000.0,1313000000.0,3.6470000000000002,3.8078454,243.09677,37.13193267373566,6.2762091137825,False,50078000000.0,76107000000.0,46910000000.0,28260000000.0,21818000000.0,3911000000.0,,3066000000.0,-5531000000.0,3129000000.0,,False,[],41251000000.0,,,33.30343506824077
2469,7212,自動車・輸送機,13.003951827133378,10.0,3.0039518271333767,0.0,0.0,14.391023011599785,False,False,,False,1.4120399130299737,146.35655168,小型,259.0,-95.11,2670.789,300831000000.0,0.6935355922332046,5481000000.0,1.82,-6925000000.0,25329000000.0,275501000000.0,,-5805000000.0,-5805000000.0,3744000000.0,-5.922000000000001,0.2950439,2.9435935,29.01185548140013,3.0879121763555437,False,124249000000.0,177555000000.0,113310000000.0,51512000000.0,72737000000.0,14356000000.0,,14757000000.0,-7871000000.0,-5728000000.0,,False,[],298759000000.0,,,1.3870711844664092
2470,6189,情報通信・サービスその他,12.966051363832687,5.0,6.146051363832686,1.82,0.0,17.117594013560453,False,False,,False,0.8669778296382731,74.4154112,小型,511.00000000000006,7.67,811.724,26997000000.0,2.075771324863884,858000000.0,3.18,72000000.0,2685000000.0,24311000000.0,,130000000.0,130000000.0,58000000.0,0.91,0.9646136,102.08605,38.438154091498056,4.170833333333333,False,14400000000.0,20066000000.0,12353000000.0,7713000000.0,6687000000.0,2641000000.0,,1637000000.0,-2105000000.0,1868000000.0,,False,[],26448000000.0,,,4.151542649727768
2471,4444,情報通信・サービスその他,12.932894001080037,2.932894001080037,10.0,0.0,0.0,40.417895316381944,False,True,実質無借金,False,0.4400503202195791,18.85928448,小型,,-26.23,480.83,2010575000.0,13.742500657650956,168889000.0,8.4,96293000.0,862261000.0,1148314000.0,,164904000.0,164904000.0,68611000.0,-5.1459998,1.9341556,19.585311995679852,55.24733525118456,7.222178780573926,False,1636934000.0,2057511000.0,920791000.0,1136720000.0,500214000.0,595264000.0,,220453000.0,-426589000.0,292183000.0,,False,[],1767655000.0,,,27.48500131530191
