rank,ticker,growth_rank_score,score_growth,score_profit,penalty,total_score,debt_free_flag,net_cash_status,debt_to_equity_ratio,revenue,revenue_growth_rate,operating_income,net_income,roe,pbr,per,equity_ratio,roic,roic_using_total_assets,invested_capital,total_assets,equity,total_debt,cash,missing_critical,missing_items,revenue_previous,long_term_debt,short_term_debt,is_debt_free,score_value,score_safety
1713,3986,11.994642244992066,1.7846422449920678,10.209999999999999,0.0,28.542853244992067,True,実質無借金,0.0,1391519000.0,0.8923211224960339,152054000.0,136447000.0,5.1049999999999995,0.43027985,23.807156,73.84690505650528,6.4685898620200115,False,1645456000.0,2228199000.0,1645456000.0,0.0,1915288000.0,False,[],1379212000.0,,,True,6.548211,10.0
1714,3306,11.959440182241975,4.057440182241974,7.902000000000001,0.0,28.525106758357012,False,実質無借金,0.4054599110466634,4422391000.0,2.028720091120987,257940000.0,101364000.0,3.9510000000000005,1.2776631,5.431776,43.86194622834511,5.151809730168979,False,3504749000.0,5685263000.0,2493667000.0,1011082000.0,1953898000.0,False,[],4334457000.0,,,False,8.611684499999999,7.953982076115038
1715,2281,11.930565340460586,4.426564740460585,7.5040006,0.0,27.59920760137068,False,,0.18491217195366097,458354000000.0,2.2132823702302926,8949000000.0,7076000000.0,3.7520003,1.1668481,23.75253,49.82304578273027,4.428444180522565,False,141456000000.0,239610000000.0,119381000000.0,22075000000.0,12288000000.0,False,[],448429000000.0,,,False,5.727627,9.94101526091009
1716,6858,11.887118987780571,4.59311898778057,7.2940000000000005,0.0,29.35110573778057,False,実質無借金,0.08902757434885054,11804000000.0,2.296559493890285,144000000.0,1459000000.0,3.6470000000000002,0.58165085,20.144053,73.69186728612324,0.5894392140810478,False,17101000000.0,21309000000.0,15703000000.0,1398000000.0,4240000000.0,False,[],11539000000.0,,,False,7.46398675,10.0
1717,4020,11.84842897101359,11.84842897101359,0.0,0.0,22.543188337435403,True,実質無借金,0.0,1155773000.0,5.924214485506795,80142000.0,60444000.0,-3.842,1.9790148,27.640666534312754,88.77256952291984,6.3477949945799885,False,883762000.0,995535000.0,883762000.0,0.0,597895000.0,False,[],1091132000.0,,,False,0.6947593664218112,10.0
1718,2164,11.840541180540743,11.840541180540743,0.0,0.0,14.643106789568472,False,,1.5539830351497859,3153453000.0,5.920270590270372,45699000.0,41336000.0,-135.309,12.105634,107.35294,28.40769682708319,1.917426001560827,False,1668346000.0,2299493000.0,653233000.0,1015113000.0,640083000.0,False,[],2977195000.0,,,False,0.0,2.8025656090277296
1719,4839,11.681475937971658,5.043475937971658,6.638,0.0,29.594290937971657,True,実質無借金,0.0,76757000000.0,2.521737968985829,2036000000.0,637000000.0,3.319,0.6003357,18.34874,67.69420591249664,2.0948965192850424,False,68032000000.0,100499000000.0,68032000000.0,0.0,28751000000.0,False,[],74869000000.0,,,True,7.912815,10.0
1720,5210,11.650686390207756,1.2706863902077559,10.38,0.0,31.650686390207756,False,,0.43951370000547635,73337000000.0,0.6353431951038779,3114000000.0,2772000000.0,5.19,0.5856604,9.746469,57.75357658692924,2.7642090846838623,False,78858000000.0,94853000000.0,54781000000.0,24077000000.0,10791000000.0,False,[],72874000000.0,,,False,10.0,10.0
1721,2683,11.61120912620059,1.5932091262005887,10.018,0.0,17.56549288452012,False,実質無借金,0.7001569444476312,9934090000.0,0.7966045631002944,89187000.0,31226000.0,5.009,3.136566,113.63636,37.86285127495858,4.212796107791502,False,1481935000.0,2302114000.0,871646000.0,610289000.0,701809000.0,False,[],9855580000.0,,,False,0.0,5.954283758319527
1722,7208,11.507899528187483,0.46789952818748437,11.04,0.0,31.507899528187483,False,実質無借金,0.09802041093618438,11117218000.0,0.23394976409374219,755104000.0,540606000.0,5.52,0.4804311,8.884012,71.26216156139509,4.195479063275778,False,12598628000.0,16101037000.0,11473947000.0,1124681000.0,4142954000.0,False,[],11091270000.0,,,False,10.0,10.0
1723,5391,11.450870095987598,10.362870015987598,1.08800008,0.0,25.009775010648323,False,,0.24462552940545756,43421000000.0,5.181435007993799,1917000000.0,-120000000.0,0.54400004,0.5718556,106.365654,45.676714743982174,5.780065472088215,False,23216000000.0,40837000000.0,18653000000.0,4563000000.0,665000000.0,False,[],41282000000.0,,,False,5.0,8.558904914660726
1724,4624,11.257250213664497,4.049250213664497,7.208,0.0,30.909904713664496,False,実質無借金,0.0011002791604897296,8156880000.0,2.0246251068322483,627555000.0,548827000.0,3.604,0.4036377,11.389382,82.45216831528779,2.5479379258975525,False,17240942000.0,20887253000.0,17221993000.0,18949000.0,4082339000.0,False,[],7995011000.0,,,False,9.6526545,10.0
1725,4092,11.210853287664124,1.5828532876641237,9.628,0.0,30.933075537664124,False,,0.32493425874035436,38843000000.0,0.7914266438320618,3343000000.0,2559000000.0,4.814,0.5917988,11.111111,61.77218560681712,3.806959605654883,False,61469000000.0,75105000000.0,46394000000.0,15075000000.0,7927000000.0,False,[],38538000000.0,,,False,9.72222225,10.0
1726,6522,11.130863158855034,11.130863158855034,0.0,-40.0,0.0,False,実質無借金,0.41734139011246063,1666306000.0,5.565431579427517,-125649000.0,-182293000.0,-8.25,1.8654138,-17.321957946821875,62.17528107340215,-3.588645826745631,False,2450905000.0,2781213000.0,1729227000.0,721678000.0,932258000.0,False,[],1578458000.0,,,False,5.672931,10.0
1727,6181,11.093465521050895,11.093465521050895,0.0,-40.0,0.0,False,,-4.901654962007829,5909037000.0,5.5467327605254475,-56208000.0,-848709000.0,-122.481,20.133053,6.2841535,-19.3582590047468,-1.4512341849422132,False,2711182000.0,3589579000.0,-694880000.0,3406062000.0,1375950000.0,False,[],5598503000.0,,,False,5.0,0.0
1728,5388,11.039071614560738,0.41307161456073926,10.626,0.0,29.93160711456074,False,実質無借金,0.00252283139672445,15707623000.0,0.20653580728036963,1280713000.0,1078078000.0,5.313,0.7573074,14.429858,83.38671871583432,4.150308155481764,False,21600784000.0,25839158000.0,21546426000.0,54358000.0,8299227000.0,False,[],15675248000.0,,,False,8.892535500000001,10.0
1729,3002,10.999417165218045,6.369417165218046,4.63,0.0,24.246722165218046,False,実質無借金,0.08440103707805774,137117000000.0,3.184708582609023,7922000000.0,6279000000.0,2.315,1.350539,57.139317,74.63880208170244,4.290776849272671,False,129240000000.0,159677000000.0,119181000000.0,10059000000.0,10541000000.0,False,[],132885000000.0,,,False,3.2473050000000003,10.0
1730,4378,10.979531700008335,4.124611277364814,6.854920422643522,0.0,24.669981546553284,False,実質無借金,0.011013630233784683,1985268000.0,2.062305638682407,62979000.0,51924000.0,3.427460211321761,1.3696364,27.8454726138202,79.29274398647104,2.8783332223401796,False,1531626000.0,1910567000.0,1514941000.0,16685000.0,1352454000.0,False,[],1945153000.0,,,False,3.69044984654495,10.0
1731,3955,10.975426351114093,0.3354257511140927,10.6400006,0.0,30.975426351114095,False,実質無借金,0.13200723327305605,20904000000.0,0.16771287555704634,1309000000.0,771000000.0,5.3200003,0.5931527,9.505913,71.04620787118324,4.87912673056443,False,18780000000.0,23351000000.0,16590000000.0,2190000000.0,2817000000.0,False,[],20869000000.0,,,False,10.0,10.0
1732,2156,10.906201707861488,4.550201707861487,6.356000000000001,0.0,27.704965152499838,False,実質無借金,0.26218592385324974,2097648000.0,2.2751008539307436,9743000.0,27262000.0,3.1780000000000004,0.7843449,20.241693,48.07756008391505,0.265158422058369,False,2572085000.0,4238572000.0,2037802000.0,534283000.0,762125000.0,False,[],2050986000.0,,,False,7.43957675,9.35918669463835
1733,2370,10.875717793470665,10.875717793470665,0.0,-40.0,0.0,True,実質無借金,0.0,810291000.0,5.4378588967353325,-1445442000.0,-1362138000.0,-69.344,1.1780244,-6.413492201230713,88.79903245597745,-26.784641885146886,False,3777573000.0,4254070000.0,3777573000.0,0.0,2170097000.0,False,[],768501000.0,,,False,9.109878,10.0
1734,3501,10.843737490094512,2.537737490094513,8.306,0.0,21.401496777156506,False,,0.7442591404746632,104791000000.0,1.2688687450472564,3010000000.0,669000000.0,4.153,0.53389907,24.874758,32.82934636118598,3.874158790865296,False,54386000000.0,94976000000.0,31180000000.0,23206000000.0,8847000000.0,False,[],103478000000.0,,,False,6.2813105,4.2764487870619945
